,lengthOfEmailId,noOfDotsInEmailId,noOfDashesInEmailId,noOfSpecialCharsInEmailId,noOfDigitsInEmailId,noOfSubdomainsInEmailId,noOfUrls,noOfDotsInUrls,noOfDashesInUrls,noOfSpecialCharsInUrls,hasIpAddressInUrls,noOfIpAddressInUrls,noOfHttpsLinks,no_of_attachments,class_label,noOfMaliciousWords
1825,22,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
1826,18,0,0,0,0,0,3,12,0,10,1,1,0,0,1,31
1827,37,0,2,1,5,0,2,7,0,2,0,0,0,1,1,39
1828,33,0,2,1,4,0,2,7,0,2,0,0,0,1,1,36
1829,18,0,0,0,0,0,9,27,5,29,0,0,1,0,1,48
1830,19,0,1,0,0,0,6,17,0,7,0,0,0,0,1,71
1831,37,2,0,0,9,0,1,6,2,2,0,0,0,1,1,10
1832,16,0,0,0,0,0,8,16,0,14,0,0,0,0,1,42
1833,16,0,0,0,0,0,8,16,0,14,0,0,0,0,1,42
1834,34,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0
1835,25,0,0,0,0,0,6,19,1,11,0,0,0,0,1,69
1836,19,0,0,0,0,0,2,4,0,2,0,0,0,2,1,41
1837,15,0,0,0,0,0,15,44,4,29,0,0,0,0,1,66
1838,19,0,0,0,0,0,2,4,0,2,0,0,0,2,1,41
1839,19,0,1,0,0,0,6,17,0,7,0,0,0,0,1,71
1840,16,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1841,17,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1842,16,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1843,14,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1844,18,0,0,0,0,0,2,5,2,6,0,0,1,0,1,13
1845,18,0,1,0,0,0,6,16,4,23,0,0,2,0,1,71
1846,39,2,0,0,11,0,1,6,2,2,0,0,0,1,1,16
1847,21,0,0,0,3,0,2,7,1,3,0,0,0,0,1,37
1848,15,0,0,0,0,0,14,42,3,34,0,0,0,0,1,117
1849,15,0,0,0,0,0,14,42,3,34,0,0,0,0,1,117
1850,26,0,0,0,0,0,3,9,0,5,0,0,0,0,1,23
1851,19,0,1,0,0,0,21,67,5,56,0,0,0,0,1,101
1852,25,0,0,0,0,0,5,17,3,13,0,0,1,0,1,37
1853,24,0,1,1,5,0,2,7,0,2,0,0,0,1,1,40
